#{"t_start": 1705265892.0710604, "env_id": "CurvyRaceEnv-v0"}
r,l,t
2197.597102,47,1003.638887
2197.398512,49,1004.855433
2198.161532,48,1006.001418
2199.144655,47,1007.153408
2197.636269,46,1008.280376
2198.244091,46,1009.417853
2196.344951,47,1010.55433
2198.811038,50,1011.832929
2200.141892,48,1013.027455
2198.382268,47,1014.199462
2199.174876,48,1015.380476
2200.094946,49,1016.585512
2196.843265,47,1017.698969
2198.683329,46,1018.837947
2198.319149,47,1019.9464
2199.871897,47,1021.115405
2199.056944,47,1022.248878
2199.112358,46,1023.400368
2198.515072,48,1024.635429
2196.087181,50,1025.91703
2201.073074,49,1027.113058
2197.248835,47,1028.344616
2201.337493,48,1029.496606
2200.196903,48,1030.713151
2197.061191,49,1031.855633
2198.612168,48,1033.032144
2193.993799,47,1034.184134
2199.750147,47,1035.340127
2198.421671,48,1036.496621
2199.904356,50,1037.827765
2198.606995,47,1038.92771
2195.544507,48,1040.156265
2200.178389,49,1041.337781
2196.238562,48,1042.571341
2196.9114,47,1043.728835
2198.473551,47,1044.93287
2196.735515,48,1046.112384
2198.214078,49,1047.323924
2198.469512,47,1048.461402
2195.578107,48,1049.683952
2199.054991,47,1050.830438
2198.859784,47,1051.97342
2195.857622,47,1053.074866
2195.198145,46,1054.200334
2198.236548,48,1055.33681
2197.602536,48,1056.492803
2200.47833,48,1057.64179
2199.561134,47,1058.783772
2198.245506,49,1059.971792
2195.971529,47,1061.117277
2199.48127,48,1062.276773
2196.17821,49,1063.409746
2198.399803,45,1064.525205
2195.985361,47,1065.609637
2196.148224,46,1066.761626
2197.737701,47,1067.893099
2197.057971,49,1069.109144
2196.986299,47,1070.272143
2199.914221,47,1071.456161
2197.6868,47,1072.591136
2198.753323,49,1073.775153
2197.579589,48,1074.910629
2197.523124,47,1076.078632
2198.008135,47,1077.220113
2199.02794,48,1078.433656
2197.087857,45,1079.533601
2197.607827,47,1080.741639
2198.504827,45,1081.793543
2196.655493,47,1082.946033
2199.949801,45,1083.980422
2200.343763,48,1085.159935
2198.884273,47,1086.251873
2199.368341,48,1087.479929
2200.33494,46,1088.559857
2197.47882,46,1089.704841
2200.049426,46,1090.875847
2197.111404,47,1092.061366
2199.472665,47,1093.246884
2200.142117,48,1094.478443
2197.161055,47,1095.63894
2200.265062,47,1096.774916
2200.056896,47,1097.9209
2199.16747,48,1099.079896
2200.349885,46,1100.233888
2200.508863,47,1101.477457
2197.725798,47,1102.631949
2197.043633,48,1103.79695
2200.891222,46,1104.951942
2197.415628,48,1106.101429
2199.753063,49,1107.278441
2199.865657,48,1108.411915
2198.94307,48,1109.585924
2198.843073,48,1110.75693
2199.747977,49,1112.038531
2198.53777,47,1113.1665
2198.359719,48,1114.396057
2196.46526,46,1115.518022
2197.490357,45,1116.658001
104.99107,100,1119.051056
2198.304784,47,1120.151502
2199.359956,49,1121.34753
2203.267598,65,1122.951909
2201.10009,46,1124.089386
2199.839096,46,1125.248382
2199.009438,47,1126.407878
2198.318211,47,1127.546356
2200.810256,46,1128.657811
2197.655034,46,1129.728732
2198.508434,47,1130.885225
2199.023435,47,1131.979666
2197.960601,46,1133.163183
2198.257873,47,1134.283646
2198.306637,45,1135.423625
2199.637544,46,1136.548091
2197.273974,45,1137.721099
2197.631924,47,1138.901614
2198.723813,47,1140.124164
2198.426434,45,1141.30618
2197.524144,45,1142.4937
2199.162788,47,1143.583637
2199.654416,46,1145.097938
2199.066547,47,1146.097296
2197.741992,47,1147.203747
2199.497166,47,1148.28918
2198.10789,46,1149.402136
2198.065059,46,1150.483566
2199.080013,47,1151.630051
2199.045282,47,1152.7345
2200.732125,51,1153.916015
2202.033725,47,1155.056995
2197.826177,47,1156.208484
2198.095422,47,1157.40201
2198.208184,48,1158.576019
2199.077002,46,1159.746525
2202.362156,48,1160.987091
2199.209088,50,1162.212644
2199.721437,45,1163.295074
2200.473253,47,1164.449066
2201.621777,47,1165.615568
2212.404315,70,1167.342552
2197.410137,47,1168.496543
2199.645089,48,1169.641027
2201.263614,46,1170.768996
2197.4244,47,1171.899467
2200.883599,47,1173.030439
2198.873383,48,1174.213456
2199.358443,47,1175.376956
2197.817926,48,1176.549463
2199.613335,47,1177.653912
2198.839363,47,1178.816411
2199.508904,46,1179.936874
2199.769535,47,1181.129398
